采集时间,目标日期,API状态码,API消息,响应状态,原始数据,备注
2025-09-29T22:24:29.340856,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 234, ""unfinished_count"": 794, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 7, ""unfinished_count"": 54, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 65, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 14, ""unfinished_count"": 3, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 12, ""unfinished_count"": 3, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 20, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 974, ""unweight_count"": 54, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:24:34.564135,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 235, ""unfinished_count"": 793, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 8, ""unfinished_count"": 53, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 65, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 14, ""unfinished_count"": 3, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 12, ""unfinished_count"": 3, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 20, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 974, ""unweight_count"": 54, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:31:05.516026,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 239, ""unfinished_count"": 789, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 11, ""unfinished_count"": 50, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 65, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 14, ""unfinished_count"": 3, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 12, ""unfinished_count"": 3, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 21, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 974, ""unweight_count"": 54, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:34:19.125446,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 240, ""unfinished_count"": 788, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 12, ""unfinished_count"": 49, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 65, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 10, ""unfinished_count"": 5, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:37:19.768342,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 239, ""unfinished_count"": 789, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 12, ""unfinished_count"": 49, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 64, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 10, ""unfinished_count"": 5, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:40:20.394449,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 239, ""unfinished_count"": 789, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 12, ""unfinished_count"": 49, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 64, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 10, ""unfinished_count"": 5, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:43:26.645708,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 240, ""unfinished_count"": 788, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 68, ""unfinished_count"": 6, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 13, ""unfinished_count"": 48, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 64, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 10, ""unfinished_count"": 5, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 675, ""address_count"": 62}}}",
2025-09-29T22:53:25.214229,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 246, ""unfinished_count"": 782, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 67, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 17, ""unfinished_count"": 44, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 64, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 13, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 676, ""address_count"": 62}}}",
2025-09-29T22:56:16.928769,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 247, ""unfinished_count"": 781, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 0, ""unfinished_count"": 518, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 67, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 18, ""unfinished_count"": 43, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 64, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 13, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 676, ""address_count"": 62}}}",
2025-09-29T22:59:06.564694,2025-09-30 00:00:00,0,ok,success,"{""code"": 0, ""msg"": ""ok"", ""data"": {""total_schedule"": {""total_count"": 1028, ""finished_count"": 252, ""unfinished_count"": 776, ""out_of_stock_count"": 0}, ""category_schedule"": [{""id"": ""A627108"", ""total_count"": 518, ""finished_count"": 4, ""unfinished_count"": 514, ""out_of_stock_count"": 0, ""name"": ""新鲜蔬菜""}, {""id"": ""A627109"", ""total_count"": 133, ""finished_count"": 0, ""unfinished_count"": 133, ""out_of_stock_count"": 0, ""name"": ""新鲜肉类""}, {""id"": ""A627110"", ""total_count"": 42, ""finished_count"": 0, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""鲜活禽类""}, {""id"": ""A627112"", ""total_count"": 74, ""finished_count"": 67, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""速冻速食""}, {""id"": ""A627113"", ""total_count"": 61, ""finished_count"": 19, ""unfinished_count"": 42, ""out_of_stock_count"": 0, ""name"": ""时令果蔬""}, {""id"": ""A627111"", ""total_count"": 23, ""finished_count"": 0, ""unfinished_count"": 23, ""out_of_stock_count"": 0, ""name"": ""鲜活水产""}, {""id"": ""A627115"", ""total_count"": 65, ""finished_count"": 64, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""南北干货""}, {""id"": ""A627114"", ""total_count"": 17, ""finished_count"": 15, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""乳品烘焙""}, {""id"": ""A627118"", ""total_count"": 15, ""finished_count"": 13, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""休闲食品""}, {""id"": ""A627119"", ""total_count"": 45, ""finished_count"": 44, ""unfinished_count"": 1, ""out_of_stock_count"": 0, ""name"": ""厨房酱料""}, {""id"": ""A629184"", ""total_count"": 6, ""finished_count"": 4, ""unfinished_count"": 2, ""out_of_stock_count"": 0, ""name"": ""厨房用品""}, {""id"": ""A627117"", ""total_count"": 22, ""finished_count"": 22, ""unfinished_count"": 0, ""out_of_stock_count"": 0, ""name"": ""米面粮油""}, {""id"": ""A627116"", ""total_count"": 7, ""finished_count"": 0, ""unfinished_count"": 7, ""out_of_stock_count"": 0, ""name"": ""腊味熟食""}], ""sort_data"": {""weight_count"": 975, ""unweight_count"": 53, ""sku_count"": 676, ""address_count"": 62}}}",
