采集时间,周期开始时间,周期结束时间,分拣员总数,总完成件数,平均完成件数,响应状态
2025-09-29T22:24:29.500646,2025-09-30 05:00,2025-09-30 09:00,4,237,59.25,success
2025-09-29T22:24:34.773717,2025-09-30 05:00,2025-09-30 09:00,4,237,59.25,success
2025-09-29T22:31:05.677259,2025-09-30 05:00,2025-09-30 09:00,4,239,59.75,success
2025-09-29T22:34:19.326993,2025-09-30 05:00,2025-09-30 09:00,4,240,60.0,success
2025-09-29T22:37:19.941416,2025-09-30 05:00,2025-09-30 09:00,4,239,59.75,success
2025-09-29T22:40:20.553675,2025-09-30 05:00,2025-09-30 09:00,4,239,59.75,success
2025-09-29T22:43:26.821869,2025-09-30 05:00,2025-09-30 09:00,4,241,60.25,success
2025-09-29T22:53:25.385366,2025-09-30 05:00,2025-09-30 09:00,4,246,61.5,success
2025-09-29T22:56:17.089654,2025-09-30 05:00,2025-09-30 09:00,4,247,61.75,success
2025-09-29T22:59:06.754893,2025-09-30 05:00,2025-09-30 09:00,4,252,63.0,success
2025-09-29T23:02:07.283549,2025-09-30 05:00,2025-09-30 09:00,4,256,64.0,success
2025-09-29T23:05:05.620527,2025-09-30 05:00,2025-09-30 09:00,4,258,64.5,success
2025-09-29T23:08:06.215400,2025-09-30 05:00,2025-09-30 09:00,4,260,65.0,success
2025-09-29T23:11:06.776494,2025-09-30 05:00,2025-09-30 09:00,4,266,66.5,success
2025-09-29T23:14:07.214522,2025-09-30 05:00,2025-09-30 09:00,4,275,68.75,success
2025-09-29T23:17:07.750530,2025-09-30 05:00,2025-09-30 09:00,4,281,70.25,success
2025-09-29T23:20:08.220485,2025-09-30 05:00,2025-09-30 09:00,4,287,71.75,success
2025-09-29T23:23:08.644918,2025-09-30 05:00,2025-09-30 09:00,4,293,73.25,success
2025-09-29T23:26:09.241109,2025-09-30 05:00,2025-09-30 09:00,4,299,74.75,success
2025-09-29T23:29:09.792834,2025-09-30 05:00,2025-09-30 09:00,4,303,75.75,success
2025-09-29T23:32:10.344613,2025-09-30 05:00,2025-09-30 09:00,4,311,77.75,success
2025-09-29T23:35:10.907126,2025-09-30 05:00,2025-09-30 09:00,4,316,79.0,success
2025-09-29T23:38:11.520869,2025-09-30 05:00,2025-09-30 09:00,4,320,80.0,success
2025-09-29T23:41:12.206162,2025-09-30 05:00,2025-09-30 09:00,4,324,81.0,success
2025-09-29T23:44:12.656792,2025-09-30 05:00,2025-09-30 09:00,4,327,81.75,success
2025-09-29T23:47:13.067822,2025-09-30 05:00,2025-09-30 09:00,4,327,81.75,success
2025-09-29T23:50:13.549809,2025-09-30 05:00,2025-09-30 09:00,4,329,82.25,success
2025-09-29T23:53:13.975012,2025-09-30 05:00,2025-09-30 09:00,4,332,83.0,success
2025-09-29T23:56:14.560540,2025-09-30 05:00,2025-09-30 09:00,4,336,84.0,success
2025-09-29T23:59:25.970683,2025-09-30 05:00,2025-09-30 09:00,4,338,84.5,success
2025-09-30T00:02:26.496947,2025-09-30 05:00,2025-09-30 09:00,4,338,84.5,success
