采集时间,目标日期,总任务数,已完成任务数,缺货任务数,未完成任务数,计重任务数,商品种类数,不计重任务数,商户数,新鲜蔬菜_未完成,新鲜蔬菜_已完成,新鲜蔬菜_缺货,新鲜肉类_未完成,新鲜肉类_已完成,新鲜肉类_缺货,鲜活水产_未完成,鲜活水产_已完成,鲜活水产_缺货,时令果蔬_未完成,时令果蔬_已完成,时令果蔬_缺货,鲜活禽类_未完成,鲜活禽类_已完成,鲜活禽类_缺货,休闲食品_未完成,休闲食品_已完成,休闲食品_缺货,速冻速食_未完成,速冻速食_已完成,速冻速食_缺货,南北干货_未完成,南北干货_已完成,南北干货_缺货,厨房酱料_未完成,厨房酱料_已完成,厨房酱料_缺货,乳品烘焙_未完成,乳品烘焙_已完成,乳品烘焙_缺货,厨房用品_未完成,厨房用品_已完成,厨房用品_缺货,米面粮油_未完成,米面粮油_已完成,米面粮油_缺货,腊味熟食_未完成,腊味熟食_已完成,腊味熟食_缺货,其他_未完成,其他_已完成,其他_缺货,总重量(kg),平均重量(kg),API响应时间(ms),数据完整性
2025-09-29T22:24:29.340856,2025-09-30 00:00:00,1028,234,0,794,974,675,54,62,518,0,0,133,0,0,23,0,0,54,7,0,42,0,0,3,12,0,6,68,0,0,65,0,1,44,0,3,14,0,2,4,0,2,20,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:24:34.564135,2025-09-30 00:00:00,1028,235,0,793,974,675,54,62,518,0,0,133,0,0,23,0,0,53,8,0,42,0,0,3,12,0,6,68,0,0,65,0,1,44,0,3,14,0,2,4,0,2,20,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:31:05.516026,2025-09-30 00:00:00,1028,239,0,789,974,675,54,62,518,0,0,133,0,0,23,0,0,50,11,0,42,0,0,3,12,0,6,68,0,0,65,0,1,44,0,3,14,0,2,4,0,1,21,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:34:19.125446,2025-09-30 00:00:00,1028,240,0,788,975,675,53,62,518,0,0,133,0,0,23,0,0,49,12,0,42,0,0,5,10,0,6,68,0,0,65,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:37:19.768342,2025-09-30 00:00:00,1028,239,0,789,975,675,53,62,518,0,0,133,0,0,23,0,0,49,12,0,42,0,0,5,10,0,6,68,0,1,64,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:40:20.394449,2025-09-30 00:00:00,1028,239,0,789,975,675,53,62,518,0,0,133,0,0,23,0,0,49,12,0,42,0,0,5,10,0,6,68,0,1,64,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:43:26.645708,2025-09-30 00:00:00,1028,240,0,788,975,675,53,62,518,0,0,133,0,0,23,0,0,48,13,0,42,0,0,5,10,0,6,68,0,1,64,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:53:25.214229,2025-09-30 00:00:00,1028,246,0,782,975,676,53,62,518,0,0,133,0,0,23,0,0,44,17,0,42,0,0,2,13,0,7,67,0,1,64,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:56:16.928769,2025-09-30 00:00:00,1028,247,0,781,975,676,53,62,518,0,0,133,0,0,23,0,0,43,18,0,42,0,0,2,13,0,7,67,0,1,64,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
2025-09-29T22:59:06.564694,2025-09-30 00:00:00,1028,252,0,776,975,676,53,62,514,4,0,133,0,0,23,0,0,42,19,0,42,0,0,2,13,0,7,67,0,1,64,0,1,44,0,2,15,0,2,4,0,0,22,0,7,0,0,0,0,0,0,0,0,完整
